Song Year,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,energy_level,positivity_level,Ratings
2016,The Truth About Love,P!nk,Pop,Try,0.00141,0.673,247907,0.629,0,B,0.0944,-7.072,1,0.0299,103.998,4,0.551,Empowering,0,1,Average
2016,I AM...SASHA FIERCE,Beyoncé,Pop,Halo,0.272,0.508,261640,0.72,0,G#,0.0563,-5.908,0,0.0628,79.983,4,0.472,Empowering,0,1,Average
2016,The Fame Monster (International Deluxe),Lady Gaga,Pop,Telephone,0.00587,0.825,220627,0.832,0.000789,D,0.114,-5.853,0,0.0403,122.021,4,0.713,Energizing,2,0,Average
2016,Bang Bang,Jessie J,Pop,Bang Bang,0.27,0.707,199373,0.75,0,A,0.37,-4.421,0,0.0824,149.997,4,0.736,Energizing,2,0,Average
2016,The Lumineers,The Lumineers,Pop,Ho Hey,0.779,0.685,161227,0.474,1.23E-06,A,0.149,-9.105,1,0.0313,79.991,4,0.36,Empowering,0,1,Average
2016,Classic,MKTO,Pop,Classic,0.0353,0.713,175333,0.781,0,A#,0.155,-4.859,1,0.121,102.078,4,0.8,Energizing,2,0,Average
2016,MADE,BIGBANG,Pop,BANG BANG BANG,0.0192,0.694,220238,0.832,0,D,0.355,-3.038,0,0.0598,135.011,4,0.424,Cool,-1,-1,Average
2016,MADE,BIGBANG,Pop,FXXK IT,0.152,0.72,231811,0.746,0,A,0.276,-3.143,0,0.107,90.026,4,0.587,Energizing,2,0,Average
2016,EX'ACT - The 3rd Album,EXO,Pop,Monster,0.0066,0.618,221341,0.76,0,D#,0.127,-4.312,1,0.0596,150,4,0.541,Cool,-1,-1,Average
2016,FATE NUMBER FOR,WINNER,Pop,REALLY REALLY,0.167,0.765,203057,0.769,0,B,0.0854,-3.16,1,0.0595,103.006,4,0.581,Energizing,2,0,Average
2016,You Never Walk Alone,BTS,Pop,Not Today,0.00181,0.594,231860,0.946,1.04E-06,F,0.923,-3.408,1,0.126,110.024,4,0.665,Aggressive,2,-2,Average
2016,The 2nd Album ‘EXODUS’,EXO,Pop,CALL ME BABY,0.284,0.692,211013,0.886,0,A#,0.341,-2.519,1,0.0519,100.03,4,0.879,Energizing,2,0,Average
2016,SQUARE TWO,BLACKPINK,Pop,STAY,0.569,0.628,230400,0.433,7.71E-06,A#,0.104,-6.808,1,0.0383,88.074,4,0.343,Aggressive,2,-2,Average
2016,LOTTO - The 3rd Album Repackage,EXO,Pop,Lotto,0.0618,0.798,189775,0.867,0,G#,0.193,-3.207,0,0.0386,99.996,4,0.702,Energizing,2,0,Average
2016,MADE,BIGBANG,Pop,LAST DANCE,0.467,0.621,279719,0.673,0,A#,0.323,-3.194,0,0.0606,143.889,4,0.289,Empowering,0,1,Average
2016,The Most Beautiful Moment in Life: Young Forever,BTS,Pop,I Need U,0.0184,0.475,210577,0.897,0,D,0.296,-2.383,0,0.0736,78.918,4,0.642,Energizing,2,0,Average
2016,BODY,Eric Nam,Pop,BODY,0.146,0.769,209760,0.624,0,C#,0.0709,-5.989,0,0.0562,100.021,4,0.753,Sentimental,-2,0,Average
2016,CRYSTYLE,CLC,Pop,Hobgoblin,0.0194,0.621,210478,0.873,0,G#,0.488,-2.888,0,0.103,169.91,4,0.401,Aggressive,2,-2,Average
2016,Rookie - The 4th Mini Album,Red Velvet,Pop,Rookie,0.0998,0.681,197638,0.94,0,C,0.334,-3.367,0,0.3,164.035,4,0.889,Energizing,2,0,Average
2016,NCT #127 - The 1st Mini Album,NCT 127,Pop,소방차 Fire Truck,0.116,0.724,178565,0.976,1.30E-05,A#,0.352,-3.279,1,0.0602,110.006,4,0.626,Aggressive,2,-2,Average
2016,The Most Beautiful Moment in Life: Young Forever,BTS,Pop,Save Me,0.0269,0.614,196506,0.823,0,A#,0.0783,-3.48,1,0.062,139.949,4,0.539,Energizing,2,0,Average
2016,FATE NUMBER FOR,WINNER,Pop,FOOL,0.721,0.649,221793,0.601,0,C#,0.108,-5.452,1,0.0347,140.031,4,0.522,Empowering,0,1,Average
2016,Guardian (Original Television Soundtrack) Part 6,Sam Kim,Pop,Who are you,0.803,0.463,255464,0.449,6.99E-06,F,0.124,-5.993,0,0.0293,131.751,4,0.23,Romantic,-1,1,Average
2016,Hey Mama! – The 1st Mini Album,EXO-CBX,Pop,Hey Mama!,0.0662,0.532,199796,0.859,0,A#,0.684,-4.106,1,0.142,118.919,4,0.934,Energizing,2,0,Average
2016,The Most Beautiful Moment in Life: Young Forever,BTS,Pop,Silver Spoon,0.00128,0.649,233185,0.875,0,F#,0.0486,-2.88,1,0.0696,166.927,4,0.557,Energizing,2,0,Average
2016,LOTTO - The 3rd Album Repackage,EXO,Pop,Lucky One,0.169,0.731,227486,0.787,0,A#,0.0892,-3.95,1,0.055,120.951,4,0.799,Energizing,2,0,Average
2016,Act. 7,4Minute,Pop,Hate,0.0577,0.681,214957,0.904,1.70E-06,D#,0.469,-3.812,0,0.156,149.883,4,0.595,Energizing,2,0,Good
2016,Descendants Of The Sun (Original Television Soundtrack) Pt.3,Davichi,Pop,This Love,0.731,0.408,225171,0.445,0,F#,0.194,-4.316,1,0.0337,138.76,4,0.205,Empowering,0,1,Good
2016,Descendants Of The Sun (Original Television Soundtrack) Pt.4,Gummy,Pop,You Are My Everything,0.675,0.334,240590,0.496,0,D#,0.119,-5.123,1,0.0379,135.064,4,0.111,Empowering,0,1,Good
2016,SHINE FOREVER,Monsta X,Pop,SHINE FOREVER,0.129,0.625,208036,0.9,0,A,0.337,-3.351,1,0.055,80.007,4,0.606,Energizing,2,0,Good
2016,Goodbye,2NE1,Pop,Goodbye,0.329,0.653,231445,0.488,0,A#,0.163,-4.042,1,0.0328,151.594,4,0.492,Energizing,2,0,Good
2016,Through the Night,IU,Pop,Through the Night,0.754,0.401,253293,0.311,0,F,0.279,-7.327,1,0.0437,79.197,4,0.282,Empowering,0,1,Good
2016,Aşk Melekleri,Berkay,Pop,İnanırım,0.0713,0.623,214227,0.806,0,A#,0.0961,-5.559,0,0.212,179.98,4,0.7,Energizing,2,0,Good
2016,Vur,Gökhan Tepe,Pop,Vur,0.193,0.84,205760,0.721,0,D#,0.091,-5.171,0,0.0988,97.994,4,0.778,Energizing,2,0,Good
2016,Kalbimin Tek Sahibine,İrem Derici,Pop,Kalbimin Tek Sahibine,0.689,0.427,212557,0.397,0,D#,0.098,-7.146,0,0.0376,100.019,4,0.391,Empowering,0,1,Good
2016,Bi' Düşün,Özcan Deniz,Pop,Aklında Olsun,0.519,0.652,300747,0.741,0.00886,G#,0.282,-8.194,0,0.0324,139.984,4,0.666,Romantic,-1,1,Good
2016,Aşklarım Büyük Benden,Murat Boz,Pop,Soyadımsın,0.423,0.455,259553,0.72,0,B,0.109,-5.471,0,0.045,92.338,4,0.454,Empowering,0,1,Good
2016,Üç,İrem Derici,Pop,Nabza Göre Şerbet,0.0401,0.783,245422,0.772,0,F,0.325,-5.762,0,0.0897,128.023,4,0.812,Energizing,2,0,Good
2016,İki,İrem Derici,Pop,Zorun Ne Sevgilim,0.0462,0.784,223687,0.799,0,D#,0.245,-4.135,1,0.049,127.04,4,0.651,Energizing,2,0,Good
2016,Güm Güm,Ayse Hatun Onal,Pop,Güm Güm,0.324,0.732,223248,0.873,0,D,0.348,-3.101,0,0.0371,110.99,4,0.711,Energizing,2,0,Good
2017,Rekor,Demet Akalın,Pop,İlahi Adalet,0.00397,0.72,251427,0.954,6.80E-06,D#,0.0758,-4.915,0,0.0446,127.947,4,0.744,Energizing,2,0,Good
2017,İki,İrem Derici,Pop,Sevgi Olsun Taştan Olsun,0.357,0.755,193959,0.799,0,E,0.124,-4.616,1,0.111,88.041,4,0.73,Energizing,2,0,Good
2017,Toz Duman,Emrah Karaduman,Pop,İntikam,0.0225,0.78,204890,0.938,0,C,0.0715,-2.744,0,0.121,128.02,4,0.887,Energizing,2,0,Good
2017,Sor,Atiye,Pop,Sor,0.725,0.249,272916,0.459,0,F#,0.117,-7.465,0,0.03,144.351,4,0.174,Romantic,-1,1,Good
2017,Tam 90'dan,Volga Tamöz,Pop,Karabiberim,0.15,0.722,265347,0.946,0.117,D,0.0837,-3.183,1,0.0849,129.982,4,0.854,Energizing,2,0,Good
2017,Rekor,Demet Akalın,Pop,Koltuk,0.175,0.749,244783,0.737,3.35E-05,C#,0.0638,-6.344,0,0.0521,100.01,4,0.778,Energizing,2,0,Good
2017,Tam 90'dan,Volga Tamöz,Pop,Kalmadı,0.0944,0.7,232147,0.908,0.175,G#,0.058,-2.841,1,0.0516,125.015,4,0.865,Energizing,2,0,Good
2017,Tavsiye,Hadise,Pop,Prenses,0.012,0.781,235019,0.737,3.28E-05,D#,0.136,-6.552,0,0.0489,121,4,0.946,Energizing,2,0,Good
2017,Tavsiye,Hadise,Pop,Nerdesin Aşkım,0.0151,0.616,191529,0.845,0,D,0.0523,-8.546,1,0.0541,193.898,4,0.96,Energizing,2,0,Good
2017,Bul Beni,Gökhan Keser,Pop,Söylesem Ayıp Olur,0.256,0.705,219359,0.92,4.11E-06,A,0.174,-3.382,0,0.104,130.048,4,0.608,Energizing,2,0,Good
2017,Tatil,Özgün,Pop,Tatil,0.202,0.689,203198,0.811,0,A#,0.126,-4.117,0,0.117,173.915,4,0.921,Energizing,2,0,Good
2017,Bangır Bangır,Gülşen,Pop,Bangır Bangır,0.00701,0.85,233631,0.872,0,E,0.304,-4.863,1,0.0963,101.987,4,0.715,Energizing,2,0,Good
2017,Volga Tamöz No 2,Volga Tamöz,Pop,Katilimiz Olursun,0.0764,0.792,210905,0.816,0,D,0.277,-4.671,0,0.15,128.025,4,0.876,Energizing,2,0,Good
2017,Daha Derine,Murat Dalkılıç,Pop,Yani,0.0114,0.687,186306,0.806,0.00411,B,0.321,-6.214,1,0.0649,94.999,4,0.853,Energizing,2,0,Good
2017,Rekor,Demet Akalın,Pop,Rekor,0.00131,0.738,229820,0.875,7.06E-05,D,0.323,-5.698,0,0.0773,125.968,4,0.841,Energizing,2,0,Good
2017,1,Ozan Çolakoğlu,Pop,Aşk Gitti Bizden,0.0369,0.708,275104,0.873,0,C#,0.0805,-5.547,0,0.0638,128.001,4,0.715,Energizing,2,0,Good
2017,1,Ozan Çolakoğlu,Pop,Seyre Dursun Aşk,0.0334,0.647,227448,0.804,6.99E-05,G#,0.0522,-4.949,0,0.05,129.997,4,0.53,Energizing,2,0,Good
2017,Tavsiye,Hadise,Pop,Tavsiye,0.0291,0.733,254465,0.894,0,E,0.355,-4.507,1,0.0708,102.022,4,0.667,Energizing,2,0,Good
2017,130 BPM Moderato,Ozan Doğulu,Pop,Namus,0.00624,0.773,199965,0.631,4.58E-05,G#,0.0394,-7.111,0,0.0802,94.002,4,0.552,Cool,-1,-1,Good
2017,Toz Duman,Emrah Karaduman,Pop,Kırk Yılda Bir Gibisin,0.00756,0.768,203608,0.911,5.46E-05,C,0.234,-1.855,0,0.0753,128.027,4,0.935,Energizing,2,0,Good
2017,Toz Duman,Emrah Karaduman,Pop,Aşkperest,0.00978,0.74,229534,0.903,1.10E-06,C#,0.424,-5.366,0,0.0641,102.022,4,0.653,Cool,-1,-1,Good
2017,Yaş Hikayesi,Merve Özbey,Pop,Helal Ettim - DJ Eyüp Remix,0.00195,0.714,286563,0.793,0.000226,G#,0.133,-7.533,0,0.115,126.959,4,0.448,Aggressive,2,-2,Good
2017,Bangır Bangır,Gülşen,Pop,Bir Fırt Çek,0.00102,0.738,262754,0.886,0,A,0.104,-4.173,1,0.0466,128.035,4,0.698,Energizing,2,0,Good
2017,Tam 90'dan,Volga Tamöz,Pop,Kınalı Bebek,0.00213,0.579,247413,0.947,1.85E-06,A#,0.133,-2.328,1,0.0398,128.027,4,0.639,Energizing,2,0,Good
2017,Afortunadamente No Eres Tu,Paty Cantú,Pop,Se Desintegra el Amor,0.154,0.652,215761,0.491,1.81E-05,C#,0.0931,-10.79,1,0.0284,129.927,4,0.278,Empowering,0,1,Good
2017,Lo Mejor De OV7,OV7,Pop,Shabadabada,0.178,0.757,235427,0.906,0.000154,E,0.09,-3.064,1,0.151,87.949,4,0.789,Energizing,2,0,Good
2017,Aerosoul,Kalimba,Pop,Tocando Fondo,0.102,0.613,246200,0.513,0,A#,0.109,-5.641,1,0.0301,131.78,4,0.31,Empowering,0,1,Good
2017,Aerosoul,Kalimba,Pop,No Me Quiero Enamorar,0.53,0.309,217773,0.407,0,B,0.201,-6.476,1,0.0318,139.901,4,0.232,Empowering,0,1,Very Good
2017,Mi Otro Yo,Kalimba,Pop,Se Te Olvido,0.184,0.781,269360,0.498,0,G,0.103,-6.17,1,0.0273,113.981,4,0.346,Empowering,0,1,Very Good
2017,Fantasía Pop,Belanova,Pop,Toma Mi Mano,0.904,0.325,152933,0.0772,3.39E-05,A,0.381,-11.756,1,0.04,202.88,4,0.434,Empowering,0,1,Very Good
2017,Peligro,Reik,Pop,Creo en Ti,0.869,0.588,165653,0.268,0,C,0.149,-9.639,1,0.0261,85.978,4,0.435,Empowering,0,1,Very Good
2017,Secuencia,Reik,Pop,Me Duele Amarte,0.401,0.62,192308,0.591,0,A#,0.138,-7.085,1,0.0304,148.06,4,0.591,Romantic,-1,1,Very Good
2017,Defecto Perfecto,División Minúscula,Pop,Sognare,0.0105,0.565,313933,0.739,2.86E-06,G,0.176,-4.012,1,0.0283,99.978,4,0.703,Empowering,0,1,Very Good
2017,Dejarte De Amar,Camila,Pop,Mientes,0.0824,0.331,205160,0.592,0,A#,0.109,-6.127,1,0.0371,170.436,3,0.312,Empowering,0,1,Very Good
2017,Todo Cambio,Camila,Pop,Todo Cambio,0.608,0.452,193827,0.512,0,D,0.276,-6.508,1,0.0568,172.444,3,0.357,Empowering,0,1,Very Good
2017,Dejarte De Amar,Camila,Pop,De Qué Me Sirve la vida,0.29,0.411,248013,0.468,0,B,0.136,-7.058,1,0.0294,149.399,4,0.179,Empowering,0,1,Very Good
2017,Todo Cambio,Camila,Pop,Sólo para Ti,0.0742,0.317,182520,0.361,0,F,0.102,-7.628,1,0.0483,77.589,4,0.209,Empowering,0,1,Very Good
2017,Dejarte De Amar,Camila,Pop,Bésame,0.0529,0.256,252293,0.384,0,D#,0.0802,-8.158,0,0.0332,175.543,3,0.168,Melancholy,-2,-1,Very Good
2017,Stereo Hits,Mœnia,Pop,Ni Tú Ni Nadie,0.0299,0.778,219533,0.624,0.006,B,0.35,-6.603,1,0.0345,131.976,4,0.635,Cool,-1,-1,Very Good
2017,A Tiempo,Ha*Ash,Pop,Que Haré Con Este Amor,0.821,0.564,197000,0.409,0,C#,0.0878,-8.225,1,0.0269,135.878,4,0.366,Empowering,0,1,Very Good
2017,Romances,David Bisbal,Pop,Dígale,0.567,0.573,265227,0.485,0,B,0.136,-6.758,1,0.0296,130.028,4,0.285,Empowering,0,1,Very Good
2017,¿Con quién se queda el perro?,Jesse & Joy,Pop,¡Corre!,0.127,0.479,288893,0.477,0,G#,0.15,-6.886,1,0.0363,151.97,4,0.127,Empowering,0,1,Very Good
2017,Six Pack: Jesse & Joy - EP,Jesse & Joy,Pop,Espacio Sideral,0.00576,0.605,222627,0.48,7.32E-05,A,0.143,-6.356,1,0.0285,90.022,4,0.811,Empowering,0,1,Very Good
2017,Six Pack: Jesse & Joy - EP,Jesse & Joy,Pop,Ya no quiero,0.00416,0.555,206907,0.826,0,E,0.0765,-5.779,1,0.0291,100.008,4,0.206,Empowering,0,1,Very Good
2017,Grandes Exitos,Chayanne,Pop,Y Tú Te Vas,0.0183,0.609,283893,0.607,1.53E-05,A#,0.205,-7.947,0,0.0297,139.927,4,0.525,Romantic,-1,1,Very Good
2017,MLB Caliente,Chayanne,Pop,Salomé,0.00331,0.77,253267,0.827,0.000107,C#,0.0708,-5.699,0,0.162,128.009,4,0.746,Energizing,2,0,Very Good
2017,Mi Sangre,Juanes,Pop,La Camisa Negra,0.0974,0.764,216707,0.737,0,D#,0.0537,-4.378,0,0.0308,97.01,4,0.973,Energizing,2,0,Very Good
2017,Lo Esencial De Alejandro Fernández,Alejandro Fernandez,Pop,Si Tú No Vuelves,0.41,0.456,194000,0.433,0,E,0.261,-6.622,1,0.0302,149.364,4,0.36,Romantic,-1,1,Very Good
2017,Lo Esencial De Alejandro Fernández,Alejandro Fernandez,Pop,Te Voy a Perder,0.392,0.56,249000,0.529,0,C,0.122,-7.76,1,0.0277,97.42,3,0.219,Empowering,0,1,Very Good
2017,Lo Esencial De Alejandro Fernández,Alejandro Fernandez,Pop,Granada,0.527,0.224,313187,0.63,0,B,0.217,-4.23,1,0.0399,80.539,4,0.201,Romantic,-1,1,Very Good
